model,noise_label,informed,task_order,n_runs,lag1_AB_mean,lag1_AB_ci_lo,lag1_AB_ci_hi,lag1_AB_n,lag1_BA_mean,lag1_BA_ci_lo,lag1_BA_ci_hi,lag1_BA_n,same_round_AB_mean,same_round_AB_ci_lo,same_round_AB_ci_hi,same_round_AB_n,lag1_max_mean,lag1_max_ci_lo,lag1_max_ci_hi,lag1_max_n,share_lag_gt_0_5
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,False,myth_game,15,0.20904722661545133,-0.006556002334866305,0.4092373598585899,15,0.20533500917599098,0.03504150125242306,0.36533905571766845,15,0.2911471418414374,0.07453538252992796,0.5094115187262525,15,0.3298805730511191,0.13246321398841374,0.508521829055574,15,0.4
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,True,game_myth,15,0.23725300339174624,0.0338111008282217,0.42596339284340706,15,0.19516996144013116,0.022155945404798278,0.3543450290371601,15,0.23563754789279018,0.06596478441789323,0.40458485368363106,15,0.3402673405285713,0.16462420427846866,0.49989099484896676,15,0.4666666666666667
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,True,myth_game,15,0.2447727750476018,0.043921127219064784,0.4386648349990565,15,0.14987426486613342,-0.07042318335171456,0.3748789685171725,15,0.17372431164438945,0.016338609132291675,0.3277618187841322,15,0.36200456487697946,0.16172404373123025,0.5351172044388216,15,0.4
gpt-5-nano,gpt5nano_partner_myth_injection,False,game_myth,45,0.2775958723497744,0.16689085821867009,0.3793903099518932,45,0.21509907412992932,0.11313241950506936,0.31864729178870965,45,0.18018252545412416,0.07602771639717425,0.2773456574862218,45,0.42089039294969666,0.3288831594120628,0.5035341681802635,45,0.4444444444444444
gpt-5-nano,gpt5nano_partner_myth_injection,False,myth_game,43,0.36131657754086566,0.2661931716510346,0.4465054381165005,43,0.2308901571371732,0.1138642356537343,0.3432759939181252,43,0.292583737792357,0.193513640215121,0.3885407034793732,43,0.49181908986403894,0.4140307382742494,0.5731364294697944,43,0.5348837209302325
gpt-5-nano,gpt5nano_partner_myth_injection,True,game_myth,15,0.2949802384343296,0.14840745133511635,0.44941819543502265,15,0.21078367640194492,-0.0030731417727000343,0.40424714620488195,15,0.11437435428105842,-0.04811427537350065,0.2705607735521668,15,0.4714897238451158,0.33896211900412526,0.5921332823480732,15,0.6
gpt-5-nano,gpt5nano_partner_myth_injection,True,myth_game,15,0.3763554015269637,0.24998316155540756,0.5043583381295156,15,0.28675534791999263,0.11068183435257799,0.4395545571414633,15,0.12998061605040478,-0.05706319419696915,0.31551808426077305,15,0.48025595919394065,0.3845355871247462,0.5767752042785068,15,0.4666666666666667
gpt-5-nano,gpt5nano_partner_myth_no_noise,False,game_myth,15,0.26315397569555715,0.03868311222268914,0.4773870850222284,15,0.166424443076043,0.03912890063305363,0.2744913273654179,15,0.14887489539509724,-0.04590387980342969,0.32314514453583254,15,0.4009122323045307,0.25014531190234207,0.531651992369632,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_no_noise,False,myth_game,15,0.1480276894656549,-0.020510373648237108,0.3337090021743433,15,0.22485057343065776,0.012889889907643143,0.4263007359735178,15,0.1425972314026242,-0.07983603987175224,0.3377106030190842,15,0.3847305800055435,0.23834264474743852,0.5285441169284499,15,0.4
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,False,game_myth,15,0.13689692688869604,-0.09004702497099291,0.3673970482692785,15,0.38217584943928734,0.251034463955236,0.5074967901083877,15,0.26063149527818497,0.09460984947562194,0.40236845741609073,15,0.47378241068568105,0.33530328762393985,0.608529181939517,15,0.5333333333333333
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,False,myth_game,15,0.20847405254598636,0.006693625171552041,0.41693805723608035,15,0.16931388954700263,0.006142037541910273,0.3270502679942282,15,-0.0013130792596385407,-0.17301563863812694,0.17490579502635437,15,0.3731271443465812,0.1831631517511967,0.5293784757276367,15,0.4666666666666667
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,True,game_myth,15,0.17067552030349867,-0.02071928557076715,0.36371223976475314,15,0.17382081158207738,-0.0642907912663456,0.38239743767008033,15,0.14495118555149086,-0.1157443768363266,0.40329312705137227,15,0.30242168031139754,0.10222626513014615,0.47541954213055226,15,0.26666666666666666
gpt-5-nano,gpt5nano_partner_myth_own_bootstrap,True,myth_game,15,0.21095729237960356,0.046879439613145085,0.3772467382653468,15,0.19270847265399024,-0.0024555722200447394,0.3699011454850169,15,0.16281313246760715,-0.01369167023962359,0.33508743952047115,15,0.3632471598405402,0.2503230831014837,0.487567722224859,15,0.13333333333333333
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,False,game_myth,15,0.14824436768493354,-0.02071128431202219,0.31659999902695474,15,0.08848422600866752,-0.15817299215282715,0.32836130857077683,15,-0.018682819934972793,-0.2117490316742266,0.15208012376519198,15,0.2574273908636123,0.07752421057241642,0.43336955790783843,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,False,myth_game,15,0.008236088927154318,-0.18585756527998792,0.22096005784052955,15,0.02861978632509275,-0.1660490521945942,0.20281512747966407,15,0.23330807470954926,0.08105614352706068,0.37046056608709527,15,0.20840257620755806,0.03297865431979343,0.38631990929668314,15,0.13333333333333333
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,True,game_myth,15,0.13167498387880514,-0.050606352513247174,0.3030779472240231,15,0.03172250388613619,-0.14503536626640856,0.19005440276432484,15,0.06121581009487766,-0.0878679909384057,0.21659023024221913,15,0.2660399353591512,0.14048690290892793,0.3923406222787827,15,0.06666666666666667
gpt-5-nano,gpt5nano_partner_myth_own_negative_5,True,myth_game,15,0.18915422575485294,0.030623259610048546,0.3475655774228924,15,0.2628668813666105,0.026905002805495425,0.46065161008428634,15,0.1572478814055203,-0.07138064172219952,0.37942496854174307,15,0.4111328484231849,0.26225120380383676,0.5497654176385194,15,0.4666666666666667
gpt-5-nano,gpt5nano_partner_myth_own_no_noise,False,game_myth,15,0.16493328499429186,-0.03455139611361437,0.3672745254190646,15,0.027472140649375643,-0.19237812461751674,0.23743398608347963,15,0.02331343739296384,-0.1393369884506656,0.1796938507378205,15,0.2886229180312769,0.1086047423805268,0.4455287430085212,15,0.4666666666666667
gpt-5-nano,gpt5nano_partner_myth_own_no_noise,False,myth_game,15,0.20933439462968337,-3.7561256821729236e-05,0.3941171062808975,15,0.11333178800159162,-0.08717867173153425,0.30285652020765175,15,0.010233621121855545,-0.1577271978874914,0.16783465335849476,15,0.3977339226242312,0.274464787458911,0.5225249280912122,15,0.3333333333333333
gpt-5-nano,gpt5nano_partner_myth_own_positive_5,False,game_myth,15,0.14994793332067727,-0.13572204766599777,0.3969140260957878,15,0.08596026384376557,-0.10735662816312955,0.27417169640266587,15,0.2918457204625447,0.0946488223295586,0.4790581635730642,15,0.29640426497114564,0.0909259359073858,0.48967127129105015,15,0.4
