condition,condition_label,myth_topic,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_012_neutral_anything.json,10,0.202,0.23502340308999015,0.0829059829059829,0.16635078546983173,1.01,0.7,0.16635078546983173,35.1,30.3,39.9
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_111_neutral_anything.json,10,0.32999999999999996,0.23259406699226012,0.11277777777777778,0.21087779504832754,1.65,0.915,0.21087779504832754,41.5,41.65,41.35
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_014_neutral_anything.json,10,0.35000000000000003,0.22912878474779197,0.0811111111111111,0.1676305461424021,1.75,0.655,0.1676305461424021,42.5,36.55,48.45
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_115_neutral_anything.json,10,0.45999999999999996,0.265329983228432,0.417,0.46259921858671255,2.3,3.496,0.46259921858671255,48.0,38.46,57.54
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_008_neutral_anything.json,10,0.32999999999999996,0.24515301344262524,0.13666666666666666,0.1876462392671676,1.65,0.99,0.1876462392671676,41.5,44.6,38.4
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_011_neutral_anything.json,10,0.41,0.31128764832546757,0.1375,0.23459069293106355,2.05,1.35,0.23459069293106355,45.5,47.0,44.0
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_112_neutral_anything.json,10,0.15999999999999998,0.21540659228538014,0.018666666666666665,0.055999999999999994,0.8,0.16799999999999998,0.055999999999999994,33.0,30.68,35.32
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_013_neutral_anything.json,10,0.38,0.2712931993250107,0.23666666666666666,0.4895462751932197,1.9,1.5,0.4895462751932197,44.0,32.0,56.0
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_110_neutral_anything.json,10,0.2,0.2,0.05277777777777778,0.12573855886395863,1.0,0.35,0.12573855886395863,35.0,29.5,40.5
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_116_neutral_anything.json,10,0.24,0.19595917942265426,0.016666666666666666,0.049999999999999996,1.2,0.1,0.049999999999999996,37.0,28.0,46.0
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_009_neutral_anything.json,10,0.30000000000000004,0.23664319132398465,0.1288888888888889,0.20337886557595644,1.5,1.1,0.20337886557595644,40.0,37.0,43.0
myth_game,Myth → Game,noisy_negative_5_informed,noise_negative_mem3_114_neutral_anything.json,10,0.38499999999999995,0.22588713996153034,0.28984444444444446,0.2483890228385036,1.925,2.178,0.2483890228385036,44.25,49.47,39.03
