regime,run,round,agent,n_tokens,policing,reputation,institution,conditional_threat,myth_reference,surveillance,justice_moral,stranger
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_6,446,0,1,0,0,4,0,10,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,3,Agent_4,385,0,9,2,0,14,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_2,1275,0,9,6,0,7,0,7,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_7,411,0,6,3,0,7,0,10,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_3,458,0,7,0,0,10,1,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_1,446,0,0,0,0,7,0,8,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_4,493,0,12,1,0,12,0,7,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_5,473,0,3,1,0,11,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_8,467,0,8,0,0,3,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,4,Agent_6,493,0,3,1,0,8,0,12,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_4,546,0,6,1,0,16,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_3,331,0,6,1,0,5,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_7,372,0,6,2,0,5,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_1,583,0,1,4,0,7,0,6,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_5,510,0,4,5,0,9,1,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_6,440,1,3,1,0,9,0,11,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_8,438,0,1,0,0,7,1,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,5,Agent_2,468,1,5,0,0,4,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_6,407,0,8,0,0,5,1,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_5,390,0,4,2,0,7,0,8,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_1,465,0,4,1,0,6,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_7,475,0,3,3,0,8,1,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_3,478,0,8,3,0,7,0,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_8,368,0,0,1,0,5,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_2,359,0,1,8,0,4,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,6,Agent_4,406,0,8,9,0,8,1,6,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_6,343,0,4,0,0,5,0,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_8,384,0,0,0,0,6,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_2,500,0,13,4,0,3,1,7,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_3,394,0,10,6,0,4,0,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,7,Agent_4,607,0,11,8,0,7,0,7,0
