regime,run,round,agent,n_tokens,policing,reputation,institution,conditional_threat,myth_reference,surveillance,justice_moral,stranger
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_5,212,0,2,0,0,1,0,1,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_8,208,0,3,3,0,2,2,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_1,226,0,2,0,0,1,1,0,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_6,226,0,0,5,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_3,232,2,1,6,0,1,1,5,1
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,9,Agent_4,220,0,2,0,0,1,0,6,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_6,240,0,1,4,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_2,215,0,0,1,0,1,0,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_7,218,0,1,2,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_1,223,1,1,3,0,1,2,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_8,220,0,2,2,0,2,1,7,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_3,236,2,0,1,0,1,1,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_4,220,0,0,0,0,1,2,4,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_000_neutral_rep00_myth_game_directive_anything,10,Agent_5,208,2,1,0,0,1,1,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_8,209,0,0,0,0,1,0,3,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_1,208,0,0,1,0,1,4,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_4,200,0,0,0,0,1,2,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_2,204,0,0,1,0,1,2,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_6,204,0,0,1,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_7,207,0,0,1,0,1,0,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_5,215,0,0,1,1,1,2,1,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,1,Agent_3,197,1,0,2,0,1,0,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_1,197,1,0,1,0,2,3,5,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_4,208,0,0,0,0,1,0,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_2,203,0,0,0,0,1,1,2,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_5,204,0,0,0,0,1,0,0,0
anon,sonnet45_8agent_myth_directive_history3_anon_r10_n5_001_neutral_rep01_myth_game_directive_anything,2,Agent_7,207,0,0,1,0,1,1,3,0
