exp,cond,file,round,agent,n_tokens,ttr,entropy_bits,mean_sentence_length
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,8,Agent_2,219,0.684931506849315,6.876406925959912,14.6
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,8,Agent_1,222,0.7072072072072072,7.000898619574669,12.333333333333334
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,9,Agent_1,213,0.647887323943662,6.7329654187956445,11.210526315789474
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,9,Agent_2,212,0.6462264150943396,6.713251693978121,11.157894736842104
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,10,Agent_2,222,0.6396396396396397,6.7791567342075805,11.68421052631579
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,10,Agent_1,219,0.6757990867579908,6.87508129503653,11.526315789473685
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,1,Agent_1,202,0.5841584158415841,6.428345597141599,11.882352941176471
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,1,Agent_2,203,0.625615763546798,6.539830193465694,14.5
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,2,Agent_2,201,0.6517412935323383,6.586032441468888,12.5625
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,2,Agent_1,201,0.6268656716417911,6.493783088820534,13.4
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,3,Agent_1,212,0.6084905660377359,6.618148523268268,11.157894736842104
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,3,Agent_2,205,0.5853658536585366,6.387737387369752,11.38888888888889
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,4,Agent_2,209,0.5789473684210527,6.395298703619287,11.61111111111111
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,4,Agent_1,202,0.5841584158415841,6.391427342052394,10.631578947368421
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,5,Agent_1,210,0.6238095238095238,6.596886547202652,11.052631578947368
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,5,Agent_2,208,0.5913461538461539,6.5545027482282245,11.555555555555555
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,6,Agent_2,218,0.6513761467889908,6.711126628897069,10.9
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,6,Agent_1,222,0.6081081081081081,6.630115177731982,11.68421052631579
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,7,Agent_1,227,0.6035242290748899,6.647348004180088,11.947368421052632
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,7,Agent_2,212,0.6084905660377359,6.535269394126968,11.157894736842104
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,8,Agent_2,221,0.6153846153846154,6.633267433382815,11.05
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,8,Agent_1,228,0.618421052631579,6.714723104683335,11.4
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,9,Agent_1,223,0.6412556053811659,6.782354569009994,11.15
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,9,Agent_2,217,0.631336405529954,6.731491124275493,11.421052631578947
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,10,Agent_2,215,0.627906976744186,6.726421847944093,10.238095238095237
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,10,Agent_1,221,0.6108597285067874,6.694115498186172,11.05
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,1,Agent_1,218,0.5642201834862385,6.373666565597124,13.625
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,1,Agent_2,196,0.6071428571428571,6.511347550737655,12.25
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,2,Agent_2,217,0.6036866359447005,6.50654760393847,12.764705882352942
sonnet45_2agent_dir_vs_norm,directive,sonnet45_directive_normative_r10_n5_009_neutral_rep04_myth_game_directive_anything,2,Agent_1,199,0.6633165829145728,6.670518970936801,14.214285714285714
