availability,condition,replicate_id,round,agent_id,author_type,coop_density,threat_density,half_rule,punishment_density
off,defectors25,93,4,Agent_8,defector,2.051282051282051,0.0,0.0,0.0
off,defectors25,93,5,Agent_1,standard,2.5510204081632653,0.5102040816326531,1.0,0.0
off,defectors25,93,5,Agent_2,standard,2.4630541871921183,0.0,1.0,0.0
off,defectors25,93,5,Agent_3,standard,1.0362694300518136,0.0,1.0,0.0
off,defectors25,93,5,Agent_4,standard,2.564102564102564,0.0,1.0,0.0
off,defectors25,93,5,Agent_5,defector,2.5380710659898478,0.0,0.0,0.0
off,defectors25,93,5,Agent_6,standard,2.094240837696335,0.5235602094240838,0.0,0.0
off,defectors25,93,5,Agent_7,standard,2.73224043715847,0.0,0.0,0.0
off,defectors25,93,5,Agent_8,defector,1.5544041450777202,0.0,0.0,0.0
off,defectors25,93,6,Agent_1,standard,1.0256410256410255,0.5128205128205128,0.0,0.0
off,defectors25,93,6,Agent_2,standard,0.966183574879227,0.0,1.0,0.0
off,defectors25,93,6,Agent_3,standard,0.49504950495049505,0.49504950495049505,1.0,0.0
off,defectors25,93,6,Agent_4,standard,1.0050251256281406,0.0,1.0,0.0
off,defectors25,93,6,Agent_5,defector,2.0,0.0,0.0,0.0
off,defectors25,93,6,Agent_6,standard,2.0618556701030926,0.0,1.0,0.0
off,defectors25,93,6,Agent_7,standard,2.051282051282051,0.0,0.0,0.0
off,defectors25,93,6,Agent_8,defector,1.0526315789473684,0.0,0.0,0.0
off,defectors25,93,7,Agent_1,standard,3.1746031746031744,0.5291005291005291,0.0,0.0
off,defectors25,93,7,Agent_2,standard,0.49261083743842365,0.0,0.0,0.0
off,defectors25,93,7,Agent_3,standard,0.4975124378109453,0.0,1.0,0.0
off,defectors25,93,7,Agent_4,standard,4.081632653061225,0.0,1.0,0.0
off,defectors25,93,7,Agent_5,defector,3.061224489795918,0.0,0.0,0.0
off,defectors25,93,7,Agent_6,standard,2.5773195876288657,0.0,0.0,0.0
off,defectors25,93,7,Agent_7,standard,2.898550724637681,0.4830917874396135,0.0,0.0
off,defectors25,93,7,Agent_8,defector,2.6455026455026456,0.5291005291005291,0.0,0.0
off,defectors25,93,8,Agent_1,standard,1.0638297872340425,0.0,1.0,0.0
off,defectors25,93,8,Agent_2,standard,1.4851485148514851,0.0,1.0,0.0
off,defectors25,93,8,Agent_3,standard,1.4634146341463417,0.0,1.0,0.0
off,defectors25,93,8,Agent_4,standard,3.061224489795918,0.0,1.0,0.0
off,defectors25,93,8,Agent_5,defector,3.5175879396984926,0.0,0.0,0.0
off,defectors25,93,8,Agent_6,standard,0.5128205128205128,0.0,1.0,0.0
off,defectors25,93,8,Agent_7,standard,3.535353535353535,0.0,0.0,0.0
off,defectors25,93,8,Agent_8,defector,2.1505376344086025,0.0,0.0,0.0
off,defectors25,93,9,Agent_1,standard,2.0408163265306123,0.0,0.0,0.0
off,defectors25,93,9,Agent_2,standard,1.9801980198019802,0.0,1.0,0.0
off,defectors25,93,9,Agent_3,standard,2.3923444976076556,0.0,1.0,0.0
off,defectors25,93,9,Agent_4,standard,1.6042780748663104,0.0,1.0,0.0
off,defectors25,93,9,Agent_5,defector,2.5906735751295336,0.0,0.0,0.0
off,defectors25,93,9,Agent_6,standard,2.030456852791878,0.0,1.0,0.0
