Prompt Condition,condition,mean_balance_r10,replicate,path,source
Myth-Game Directive,Noise (Informed),51.75,0,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_020_neutral_rep00_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),39.0,1,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_021_neutral_rep01_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),38.099999999999994,2,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_022_neutral_rep02_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),37.25,3,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_023_neutral_rep03_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),36.21,4,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_024_neutral_rep04_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),38.599999999999994,5,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_025_neutral_rep05_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),53.2,6,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_026_neutral_rep06_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),41.65,7,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_027_neutral_rep07_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),56.55,8,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_028_neutral_rep08_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
Myth-Game Directive,Noise (Informed),48.5,9,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_029_neutral_rep09_myth_game_directive_anything.json,data/plots/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/run_metrics.csv
