availability,condition,replicate_id,round,standard_send_ratio,standard_return_ratio
on,defectors25,83,2,1.0,0.5666666666666667
on,defectors25,83,3,1.0,0.48733333333333334
on,defectors25,83,4,1.0,0.48333333333333334
on,defectors25,83,5,0.75,0.5666666666666667
on,defectors25,83,6,1.0,0.4666666666666667
on,defectors25,83,7,1.0,0.44366666666666665
on,defectors25,83,8,1.0,0.4897777777777778
on,defectors25,83,9,1.0,0.44533333333333336
on,defectors25,83,10,1.0,0.4246666666666667
on,defectors25,84,1,1.0,0.5333333333333333
on,defectors25,84,2,1.0,0.5833333333333333
on,defectors25,84,3,0.6666666666666666,0.49533333333333335
on,defectors25,84,4,1.0,0.5166666666666666
on,defectors25,84,5,1.0,0.4933333333333333
on,defectors25,84,6,1.0,0.5444444444444444
on,defectors25,84,7,1.0,0.5
on,defectors25,84,8,1.0,0.4966666666666667
on,defectors25,84,9,1.0,0.25
on,defectors25,84,10,0.5,0.5
on,defectors25,85,1,1.0,0.5333333333333333
on,defectors25,85,2,1.0,0.5166666666666666
on,defectors25,85,3,1.0,0.20400000000000001
on,defectors25,85,4,0.6666666666666666,0.5166666666666666
on,defectors25,85,5,0.6666666666666666,0.41400000000000003
on,defectors25,85,6,1.0,0.5283333333333333
on,defectors25,85,7,1.0,0.499
on,defectors25,85,8,0.75,0.5573333333333333
on,defectors25,85,9,1.0,0.45666666666666667
on,defectors25,85,10,0.8333333333333334,0.245
on,defectors25,86,1,1.0,0.4493333333333333
on,defectors25,86,2,1.0,0.4923333333333333
on,defectors25,86,3,0.5,0.5333333333333333
on,defectors25,86,4,1.0,0.5
on,defectors25,86,5,1.0,0.5256666666666667
on,defectors25,86,6,1.0,0.44766666666666666
on,defectors25,86,7,1.0,0.5
on,defectors25,86,8,1.0,0.5102222222222222
on,defectors25,86,9,1.0,0.6
on,defectors25,86,10,1.0,0.5297777777777778
on,defectors25,87,1,1.0,0.5333333333333333
on,defectors25,87,2,1.0,0.5653333333333334
on,defectors25,87,3,0.75,0.6666666666666666
on,defectors25,87,4,1.0,0.4676666666666667
on,defectors25,87,5,1.0,0.48333333333333334
on,defectors25,87,6,1.0,0.5
on,defectors25,87,7,1.0,0.35555555555555557
on,defectors25,87,8,0.6666666666666666,0.5
on,defectors25,87,9,0.5,0.5
on,defectors25,87,10,1.0,0.23066666666666666
on,defectors25,88,1,1.0,0.4797777777777778
on,defectors25,88,2,1.0,0.5166666666666666
on,defectors25,88,3,1.0,0.4733333333333334
on,defectors25,88,4,1.0,0.497
on,defectors25,88,5,1.0,0.43566666666666665
on,defectors25,88,6,1.0,0.49933333333333335
on,defectors25,88,7,1.0,0.4706666666666667
on,defectors25,88,8,1.0,0.5
on,defectors25,88,9,1.0,0.483
on,defectors25,88,10,1.0,0.492
on,defectors25,89,1,1.0,0.5333333333333333
on,defectors25,89,2,1.0,0.444
on,defectors25,89,3,1.0,0.5166666666666666
on,defectors25,89,4,0.75,0.5333333333333333
on,defectors25,89,5,0.5,0.4666666666666667
on,defectors25,89,6,1.0,0.487
on,defectors25,89,7,1.0,0.47333333333333333
on,defectors25,89,8,1.0,0.44733333333333336
on,defectors25,89,9,1.0,0.4771111111111111
on,defectors25,89,10,1.0,0.48333333333333334
