condition,run,round,agent,model,myth_prompt_arm_id,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences,network_community_count,network_community_per_1k,stranger_portability_count,stranger_portability_per_1k,abstract_norm_pattern_count,abstract_norm_pattern_per_1k,reputation_history_count,reputation_history_per_1k,explicit_game_rules_count,explicit_game_rules_per_1k,named_agent_markers_count,named_agent_markers_per_1k
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,9,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,212,137,0.6462264150943396,6.713251693978121,11.105263157894736,19,6,28.30188679245283,0,0.0,7,33.0188679245283,2,9.433962264150944,6,28.30188679245283,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,10,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,222,142,0.6396396396396397,6.7791567342075805,11.631578947368421,19,1,4.504504504504505,0,0.0,3,13.513513513513514,1,4.504504504504505,8,36.03603603603604,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_007_neutral_rep02_myth_game_directive_anything,10,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,219,148,0.6757990867579908,6.87508129503653,11.473684210526315,19,1,4.566210045662101,0,0.0,6,27.397260273972602,2,9.132420091324201,11,50.22831050228311,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,1,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,202,118,0.5841584158415841,6.428345597141599,11.882352941176471,17,10,49.504950495049506,0,0.0,4,19.801980198019802,0,0.0,9,44.554455445544555,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,1,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,203,127,0.625615763546798,6.539830193465694,14.5,14,3,14.77832512315271,1,4.926108374384237,1,4.926108374384237,0,0.0,2,9.852216748768473,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,2,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,201,131,0.6517412935323383,6.586032441468888,12.5,16,3,14.925373134328359,3,14.925373134328359,5,24.875621890547265,2,9.950248756218905,10,49.75124378109453,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,2,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,201,126,0.6268656716417911,6.493783088820534,13.333333333333334,15,1,4.975124378109452,0,0.0,7,34.82587064676617,0,0.0,13,64.67661691542288,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,3,Agent_1,anthropic/claude-sonnet-4.5,myth_game_directive,212,129,0.6084905660377359,6.618148523268268,11.105263157894736,19,3,14.150943396226415,1,4.716981132075472,8,37.735849056603776,0,0.0,18,84.90566037735849,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,3,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,205,120,0.5853658536585366,6.387737387369752,11.333333333333334,18,3,14.634146341463415,1,4.878048780487805,4,19.51219512195122,1,4.878048780487805,11,53.65853658536585,0,0.0
2-agent directive,sonnet45_directive_normative_r10_n5_008_neutral_rep03_myth_game_directive_anything,4,Agent_2,anthropic/claude-sonnet-4.5,myth_game_directive,209,121,0.5789473684210527,6.395298703619287,11.555555555555555,18,3,14.354066985645932,0,0.0,5,23.923444976076556,0,0.0,15,71.77033492822966,0,0.0
